Timestamp,Type,Sender,Receiver,Message
2026-07-09 18:49:33,BROADCAST,kunal,ALL,hi
2026-07-09 18:49:37,BROADCAST,kunal,ALL,Enter your message...hi
2026-07-09 18:49:41,BROADCAST,kunal,ALL,hi
2026-07-09 18:56:52,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:56:56,BROADCAST,kunal,ALL,kunal
2026-07-09 18:57:02,BROADCAST,kunal,ALL,hi
2026-07-09 18:57:05,BROADCAST,kunal,ALL,deepak
2026-07-09 18:57:11,BROADCAST,kunal,ALL,how are you
2026-07-09 19:03:55,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:04:02,BROADCAST,kunal,ALL,Enter your message...hiiiiiii
2026-07-09 19:04:05,BROADCAST,kunal,ALL,Enter your message...nuubuuu
2026-07-09 19:09:26,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:09:30,BROADCAST,kunal,ALL,hi
2026-07-09 19:09:34,BROADCAST,kunal,ALL,hi
2026-07-09 19:09:38,BROADCAST,kunal,ALL,kunal
2026-07-09 19:09:47,BROADCAST,kunal,ALL,ddd
2026-07-09 19:09:48,BROADCAST,kunal,ALL,Enter your message...d
2026-07-09 19:09:49,BROADCAST,kunal,ALL,Enter your message...ddddddd
2026-07-09 19:25:46,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-09 19:26:09,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:26:13,BROADCAST,kunal,ALL,kunak
2026-07-09 19:26:15,BROADCAST,kunal,ALL,jhs
2026-07-09 19:26:20,BROADCAST,kunal,ALL,kunal
2026-07-09 19:26:24,BROADCAST,kunal,ALL,kunaaalllakjshshdhdhd
2026-07-09 19:26:36,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 19:26:46,PRIVATE,deepak,kunal,hi
2026-07-09 19:42:13,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:42:22,BROADCAST,kunal,ALL,hii
2026-07-09 19:42:32,BROADCAST,kunal,ALL,hii
2026-07-09 19:57:47,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:57:59,BROADCAST,kunal,ALL,hii
2026-07-09 19:58:07,BROADCAST,kunal,ALL,ssss
2026-07-09 19:58:08,BROADCAST,kunal,ALL,sss
2026-07-09 19:58:09,BROADCAST,kunal,ALL,s
2026-07-09 19:58:09,BROADCAST,kunal,ALL,s
2026-07-09 19:58:09,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:10,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:10,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:10,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:11,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:11,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:11,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:12,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:12,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:12,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:13,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:13,BROADCAST,kunal,ALL,s
2026-07-09 19:58:13,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:14,BROADCAST,kunal,ALL,s
2026-07-09 19:58:14,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:14,BROADCAST,kunal,ALL,ss
2026-07-09 19:58:15,BROADCAST,kunal,ALL,s
2026-07-09 19:58:15,BROADCAST,kunal,ALL,s
2026-07-09 19:58:20,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-09 21:16:03,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 21:16:24,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 21:17:13,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-09 21:17:31,BROADCAST,karan,ALL,heyy everyone
2026-07-09 21:17:51,PRIVATE,kunal,karan,hey...how are you?
2026-07-09 21:18:11,BROADCAST,deepak,ALL,hi karan...how are you doing?
2026-07-09 21:18:23,BROADCAST,kunal,ALL,good morning /list
2026-07-09 21:18:50,BROADCAST,deepak,ALL,hii
2026-07-09 21:18:55,BROADCAST,deepak,ALL,hii
2026-07-09 21:20:21,BROADCAST,karan,ALL,do we have more assignments?
2026-07-09 21:41:08,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-09 21:41:17,BROADCAST,utkarsh,ALL,hy guys
2026-07-09 21:41:27,BROADCAST,utkarsh,ALL,bye guys
2026-07-09 21:41:30,SYSTEM,SERVER,ALL,utkarsh left the chat
2026-07-09 21:59:27,SYSTEM,SERVER,ALL,karan left the chat
2026-07-09 22:16:36,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 22:16:45,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 22:17:34,BROADCAST,deepak,ALL,hiii
2026-07-09 22:18:00,BROADCAST,kunal,ALL,hii
2026-07-09 22:26:40,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 22:26:53,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 22:28:09,BROADCAST,deepak,ALL,hii
2026-07-09 22:28:21,PRIVATE,kunal,kunal,ky hal hai?
2026-07-09 22:28:36,PRIVATE,kunal,deepak,ky hal hai
2026-07-09 22:28:46,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-09 22:34:38,SYSTEM,SERVER,ALL,deepak left the chat
2026-07-10 00:56:18,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 00:56:33,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 00:56:53,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-10 00:57:06,BROADCAST,karan,ALL,heyyy
2026-07-10 00:57:23,PRIVATE,deepak,karan,hello
2026-07-10 00:57:34,BROADCAST,kunal,ALL,hey everyone
2026-07-10 01:32:49,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 16:38:56,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 17:21:41,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 18:20:33,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 18:20:56,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 18:21:07,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:04:48,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:07:55,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:08:54,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:09:15,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 19:18:43,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:19:12,BROADCAST,kunal,ALL,hi
2026-07-10 19:19:20,BROADCAST,kunal,ALL,sdddd
2026-07-10 19:19:21,BROADCAST,kunal,ALL,ssss
2026-07-10 19:19:21,BROADCAST,kunal,ALL,sdd
2026-07-10 19:19:22,BROADCAST,kunal,ALL,ff
2026-07-10 19:19:22,BROADCAST,kunal,ALL,ff
2026-07-10 19:19:22,BROADCAST,kunal,ALL,f
2026-07-10 19:19:41,SYSTEM,SERVER,ALL,deepak joined the chat
